Epoch [1/15] Loss: 4.3873  (im=0.252, ctx=0.011, txt=3.843, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/15] Loss: 4.3156  (im=0.240, ctx=0.011, txt=4.640, reid=0.000, g_mse=0.163, nce=0.000, entpool=0.000)
Epoch [3/15] Loss: 4.2771  (im=0.235, ctx=0.012, txt=4.609, reid=0.000, g_mse=0.006, nce=0.000, entpool=0.000)
Epoch [4/15] Loss: 4.2396  (im=0.275, ctx=0.011, txt=4.315, reid=0.000, g_mse=0.024, nce=0.000, entpool=0.000)
Epoch [5/15] Loss: 4.2141  (im=0.237, ctx=0.009, txt=4.075, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/15] Loss: 4.1831  (im=0.246, ctx=0.031, txt=4.350, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/15] Loss: 4.1557  (im=0.243, ctx=0.016, txt=3.389, reid=0.000, g_mse=0.004, nce=0.000, entpool=0.000)
Epoch [8/15] Loss: 4.1358  (im=0.242, ctx=0.010, txt=3.659, reid=0.000, g_mse=0.003, nce=0.000, entpool=0.000)
Epoch [9/15] Loss: 4.1126  (im=0.246, ctx=0.015, txt=3.629, reid=0.000, g_mse=0.002, nce=0.000, entpool=0.000)
Epoch [10/15] Loss: 4.0896  (im=0.250, ctx=0.012, txt=3.881, reid=0.000, g_mse=0.002, nce=0.000, entpool=0.000)
Epoch [11/15] Loss: 4.0703  (im=0.232, ctx=0.017, txt=4.464, reid=0.000, g_mse=0.003, nce=0.000, entpool=0.000)
Epoch [12/15] Loss: 4.0502  (im=0.234, ctx=0.012, txt=3.413, reid=0.000, g_mse=0.002, nce=0.696, entpool=0.000)
Epoch [13/15] Loss: 4.0333  (im=0.239, ctx=0.013, txt=4.091, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/15] Loss: 4.0182  (im=0.255, ctx=0.014, txt=3.298, reid=0.000, g_mse=0.002, nce=0.000, entpool=0.000)
Epoch [15/15] Loss: 3.9976  (im=0.236, ctx=0.012, txt=3.699, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
