Epoch [1/15] Loss: 4.4143  (im=0.253, ctx=0.012, txt=3.885, reid=0.000, g_mse=0.339, nce=0.000, entpool=0.000)
Epoch [2/15] Loss: 4.3295  (im=0.241, ctx=0.015, txt=3.548, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/15] Loss: 4.2791  (im=0.247, ctx=0.009, txt=4.176, reid=0.000, g_mse=0.048, nce=0.000, entpool=0.000)
Epoch [4/15] Loss: 4.2424  (im=0.242, ctx=0.016, txt=3.679, reid=0.000, g_mse=0.012, nce=0.000, entpool=0.000)
Epoch [5/15] Loss: 4.2127  (im=0.220, ctx=0.010, txt=4.018, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/15] Loss: 4.1842  (im=0.242, ctx=0.008, txt=4.002, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/15] Loss: 4.1586  (im=0.245, ctx=0.012, txt=3.883, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/15] Loss: 4.1353  (im=0.254, ctx=0.009, txt=4.092, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/15] Loss: 4.1116  (im=0.240, ctx=0.017, txt=4.171, reid=0.000, g_mse=0.002, nce=0.693, entpool=0.000)
Epoch [10/15] Loss: 4.0873  (im=0.245, ctx=0.008, txt=2.991, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/15] Loss: 4.0673  (im=0.240, ctx=0.028, txt=3.182, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/15] Loss: 4.0547  (im=0.254, ctx=0.016, txt=4.544, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/15] Loss: 4.0331  (im=0.235, ctx=0.009, txt=3.905, reid=0.000, g_mse=0.001, nce=0.000, entpool=0.000)
Epoch [14/15] Loss: 4.0164  (im=0.270, ctx=0.018, txt=3.908, reid=0.000, g_mse=0.004, nce=0.000, entpool=0.000)
Epoch [15/15] Loss: 3.9996  (im=0.246, ctx=0.009, txt=3.825, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
